Model,mean,sd,boot_lo,boot_hi
Logistic regression,0.8178729115775814,0.07078228739631484,0.8040071183054321,0.8319916137442773
MLP,0.7888522720860616,0.07153513152941922,0.7749477632656002,0.8027801487585191
SVM,0.8253852404851174,0.07473937345241383,0.8109822109509774,0.8399151637270611
XGBoost,0.8499405802398665,0.07450516955422883,0.8349495993889634,0.8647344535417577
