Model,fpr,tpr
MLP,0.0,0.0
MLP,0.041666666666666664,0.7361111111111112
MLP,0.041666666666666664,0.7916666666666666
MLP,0.041666666666666664,0.8194444444444444
MLP,0.125,0.8194444444444444
MLP,0.125,0.8611111111111112
MLP,0.16666666666666666,0.8611111111111112
MLP,0.16666666666666666,0.875
MLP,0.20833333333333334,0.875
MLP,0.20833333333333334,0.8888888888888888
MLP,0.4166666666666667,0.8888888888888888
MLP,0.4166666666666667,0.9166666666666666
MLP,0.5416666666666666,0.9166666666666666
MLP,0.5416666666666666,0.9305555555555556
MLP,0.5833333333333334,0.9305555555555556
MLP,0.5833333333333334,0.9583333333333334
MLP,0.625,0.9583333333333334
MLP,1.0,1.0
SVM,0.0,0.0
SVM,0.0,0.013888888888888888
SVM,0.0,0.18055555555555555
SVM,0.041666666666666664,0.18055555555555555
SVM,0.041666666666666664,0.5694444444444444
SVM,0.08333333333333333,0.5694444444444444
SVM,0.08333333333333333,0.8888888888888888
SVM,0.125,0.8888888888888888
SVM,0.125,0.9305555555555556
SVM,0.16666666666666666,0.9305555555555556
SVM,0.16666666666666666,0.9444444444444444
SVM,0.20833333333333334,0.9444444444444444
SVM,0.20833333333333334,0.9583333333333334
SVM,0.25,0.9583333333333334
SVM,0.25,0.9861111111111112
SVM,0.7083333333333334,0.9861111111111112
SVM,0.7083333333333334,1.0
SVM,1.0,1.0
XGBoost,0.0,0.0
XGBoost,0.0,0.013888888888888888
XGBoost,0.0,0.4027777777777778
XGBoost,0.041666666666666664,0.4027777777777778
XGBoost,0.041666666666666664,0.6944444444444444
XGBoost,0.08333333333333333,0.6944444444444444
XGBoost,0.08333333333333333,0.8055555555555556
XGBoost,0.125,0.8055555555555556
XGBoost,0.125,0.9583333333333334
XGBoost,0.20833333333333334,0.9583333333333334
XGBoost,0.20833333333333334,0.9722222222222222
XGBoost,0.2916666666666667,0.9722222222222222
XGBoost,0.2916666666666667,0.9861111111111112
XGBoost,0.3333333333333333,0.9861111111111112
XGBoost,0.3333333333333333,1.0
XGBoost,1.0,1.0
