seed,algorithm,condition,n_iter,surrogates_fitted,search_kappa,repeated_cv_mean,repeated_cv_sd,ci95_low,ci95_high,heldout_kappa,heldout_auc,accuracy,best_params
1234,LogisticRegression,random15,15,1,0.8444725535019568,0.8367701524006235,0.0757321367621951,0.8218553846664568,0.8516721769680773,0.6923076923076923,0.9409722222222222,0.875,"{""LGR__C"": 23.14439899864545, ""LGR__penalty"": ""l2"", ""LGR__solver"": ""lbfgs""}"
2718,MLP,random5,5,1,0.8443767683884207,0.8142773433676851,0.0612317286603253,0.802478877608906,0.825973158566018,0.7222222222222222,0.9146412037037036,0.8958333333333334,"{""NN__activation"": ""tanh"", ""NN__alpha"": 1.0005062499253141e-05, ""NN__hidden_layer_sizes"": 14, ""NN__learning_rate_init"": 4.0605072066641247e-07}"
2718,MLP,bayes15,15,6,0.8443767683884207,0.8142773433676851,0.0612317286603253,0.802478877608906,0.825973158566018,0.7222222222222222,0.9146412037037036,0.8958333333333334,"{""NN__activation"": ""tanh"", ""NN__alpha"": 1.0005062499253141e-05, ""NN__hidden_layer_sizes"": 14, ""NN__learning_rate_init"": 4.0605072066641247e-07}"
2718,MLP,random15,15,1,0.8443767683884207,0.8142773433676851,0.0612317286603253,0.802478877608906,0.825973158566018,0.7222222222222222,0.9146412037037036,0.8958333333333334,"{""NN__activation"": ""tanh"", ""NN__alpha"": 1.0005062499253141e-05, ""NN__hidden_layer_sizes"": 14, ""NN__learning_rate_init"": 4.0605072066641247e-07}"
2718,SVM,random5,5,1,0.8500144879111167,0.8414919382827732,0.0746948951714905,0.8270394659958268,0.8555256323510937,0.7297297297297297,0.9120370370370372,0.8958333333333334,"{""svm__C"": 0.8263324165169075, ""svm__gamma"": 0.24531193845301763, ""svm__kernel"": ""rbf""}"
2718,SVM,bayes15,15,6,0.8798959147464984,0.8504967146180958,0.0743863588572825,0.8361711383140141,0.8647644185358517,0.736842105263158,0.9265046296296298,0.8958333333333334,"{""svm__C"": 1.0, ""svm__gamma"": 0.06831457092781845, ""svm__kernel"": ""rbf""}"
2718,SVM,random15,15,1,0.8619136075907425,0.8439078950606266,0.0700731684988923,0.8304055993341319,0.8575348800940785,0.76,0.9288194444444444,0.90625,"{""svm__C"": 0.9953065454948415, ""svm__gamma"": 0.05071869211182635, ""svm__kernel"": ""rbf""}"
2718,XGBoost,random5,5,1,0.8502213350640406,0.8610195798820195,0.0779010781993933,0.8456423251278048,0.8764133887918888,0.7142857142857143,0.9403935185185186,0.8854166666666666,"{""xgb__colsample_bytree"": 0.6452735346416822, ""xgb__gamma"": 0.38215579618182954, ""xgb__learning_rate"": 0.16242802295792177, ""xgb__max_depth"": 8, ""xgb__max_leaves"": 77, ""xgb__min_child_weight"": 0.6729386309625104, ""xgb__n_estimators"": 359, ""xgb__reg_alpha"": 0.02828636864175993, ""xgb__reg_lambda"": 0.0015349989518893261, ""xgb__subsample"": 0.6962416126053333}"
2718,XGBoost,bayes15,15,6,0.8861239418146443,0.8547461023510821,0.0745405437449038,0.8399297372601664,0.8696537576081554,0.7142857142857143,0.9247685185185186,0.8854166666666666,"{""xgb__colsample_bytree"": 0.4, ""xgb__gamma"": 0.27555346054676716, ""xgb__learning_rate"": 0.2, ""xgb__max_depth"": 5, ""xgb__max_leaves"": 78, ""xgb__min_child_weight"": 1.9783179825257988, ""xgb__n_estimators"": 50, ""xgb__reg_alpha"": 2.4810896181294215e-07, ""xgb__reg_lambda"": 0.001, ""xgb__subsample"": 0.9}"
2718,XGBoost,random15,15,1,0.8681384358402326,0.8580439198619493,0.0722138866922488,0.8440122224147837,0.8723779111960246,0.7142857142857143,0.9427083333333331,0.8854166666666666,"{""xgb__colsample_bytree"": 0.6285644325782127, ""xgb__gamma"": 0.770709502618286, ""xgb__learning_rate"": 0.15707009179320727, ""xgb__max_depth"": 7, ""xgb__max_leaves"": 84, ""xgb__min_child_weight"": 1.438679074447127, ""xgb__n_estimators"": 139, ""xgb__reg_alpha"": 2.60073377331366e-08, ""xgb__reg_lambda"": 0.4243604280184788, ""xgb__subsample"": 0.6842159149659403}"
