Model,panel,fpr,tpr
MLP,uncalibrated,0.0,0.0
MLP,uncalibrated,0.041666666666666664,0.7361111111111112
MLP,uncalibrated,0.041666666666666664,0.7916666666666666
MLP,uncalibrated,0.041666666666666664,0.8194444444444444
MLP,uncalibrated,0.125,0.8194444444444444
MLP,uncalibrated,0.125,0.8611111111111112
MLP,uncalibrated,0.16666666666666666,0.8611111111111112
MLP,uncalibrated,0.16666666666666666,0.875
MLP,uncalibrated,0.20833333333333334,0.875
MLP,uncalibrated,0.20833333333333334,0.8888888888888888
MLP,uncalibrated,0.4166666666666667,0.8888888888888888
MLP,uncalibrated,0.4166666666666667,0.9166666666666666
MLP,uncalibrated,0.5416666666666666,0.9166666666666666
MLP,uncalibrated,0.5416666666666666,0.9305555555555556
MLP,uncalibrated,0.5833333333333334,0.9305555555555556
MLP,uncalibrated,0.5833333333333334,0.9583333333333334
MLP,uncalibrated,0.625,0.9583333333333334
MLP,uncalibrated,0.625,0.9722222222222222
MLP,uncalibrated,0.7916666666666666,0.9722222222222222
MLP,uncalibrated,0.7916666666666666,0.9861111111111112
MLP,uncalibrated,0.875,0.9861111111111112
MLP,uncalibrated,0.875,1.0
MLP,uncalibrated,1.0,1.0
MLP,platt_calibrated,0.0,0.0
MLP,platt_calibrated,0.041666666666666664,0.7361111111111112
MLP,platt_calibrated,0.041666666666666664,0.7916666666666666
MLP,platt_calibrated,0.041666666666666664,0.8194444444444444
MLP,platt_calibrated,0.125,0.8194444444444444
MLP,platt_calibrated,0.125,0.8611111111111112
MLP,platt_calibrated,0.16666666666666666,0.8611111111111112
MLP,platt_calibrated,0.16666666666666666,0.875
MLP,platt_calibrated,0.20833333333333334,0.875
MLP,platt_calibrated,0.20833333333333334,0.8888888888888888
MLP,platt_calibrated,0.4166666666666667,0.8888888888888888
MLP,platt_calibrated,0.4166666666666667,0.9166666666666666
MLP,platt_calibrated,0.5416666666666666,0.9166666666666666
MLP,platt_calibrated,0.5416666666666666,0.9305555555555556
MLP,platt_calibrated,0.5833333333333334,0.9305555555555556
MLP,platt_calibrated,0.5833333333333334,0.9583333333333334
MLP,platt_calibrated,0.625,0.9583333333333334
MLP,platt_calibrated,1.0,1.0
SVM,uncalibrated,0.0,0.0
SVM,uncalibrated,0.0,0.013888888888888888
SVM,uncalibrated,0.0,0.18055555555555555
SVM,uncalibrated,0.041666666666666664,0.18055555555555555
SVM,uncalibrated,0.041666666666666664,0.5694444444444444
SVM,uncalibrated,0.08333333333333333,0.5694444444444444
SVM,uncalibrated,0.08333333333333333,0.8888888888888888
SVM,uncalibrated,0.125,0.8888888888888888
SVM,uncalibrated,0.125,0.9305555555555556
SVM,uncalibrated,0.16666666666666666,0.9305555555555556
SVM,uncalibrated,0.16666666666666666,0.9444444444444444
SVM,uncalibrated,0.20833333333333334,0.9444444444444444
SVM,uncalibrated,0.20833333333333334,0.9583333333333334
SVM,uncalibrated,0.25,0.9583333333333334
SVM,uncalibrated,0.25,0.9861111111111112
SVM,uncalibrated,0.7083333333333334,0.9861111111111112
SVM,uncalibrated,0.7083333333333334,1.0
SVM,uncalibrated,1.0,1.0
SVM,platt_calibrated,0.0,0.0
SVM,platt_calibrated,0.0,0.013888888888888888
SVM,platt_calibrated,0.0,0.18055555555555555
SVM,platt_calibrated,0.041666666666666664,0.18055555555555555
SVM,platt_calibrated,0.041666666666666664,0.5694444444444444
SVM,platt_calibrated,0.08333333333333333,0.5694444444444444
SVM,platt_calibrated,0.08333333333333333,0.8888888888888888
SVM,platt_calibrated,0.125,0.8888888888888888
SVM,platt_calibrated,0.125,0.9305555555555556
SVM,platt_calibrated,0.16666666666666666,0.9305555555555556
SVM,platt_calibrated,0.16666666666666666,0.9444444444444444
SVM,platt_calibrated,0.20833333333333334,0.9444444444444444
SVM,platt_calibrated,0.20833333333333334,0.9583333333333334
SVM,platt_calibrated,0.25,0.9583333333333334
SVM,platt_calibrated,0.25,0.9861111111111112
SVM,platt_calibrated,0.7083333333333334,0.9861111111111112
SVM,platt_calibrated,0.7083333333333334,1.0
SVM,platt_calibrated,1.0,1.0
XGBoost,uncalibrated,0.0,0.0
XGBoost,uncalibrated,0.0,0.013888888888888888
XGBoost,uncalibrated,0.0,0.4027777777777778
XGBoost,uncalibrated,0.041666666666666664,0.4027777777777778
XGBoost,uncalibrated,0.041666666666666664,0.6944444444444444
XGBoost,uncalibrated,0.08333333333333333,0.6944444444444444
XGBoost,uncalibrated,0.08333333333333333,0.8055555555555556
XGBoost,uncalibrated,0.125,0.8055555555555556
XGBoost,uncalibrated,0.125,0.9583333333333334
XGBoost,uncalibrated,0.20833333333333334,0.9583333333333334
XGBoost,uncalibrated,0.20833333333333334,0.9722222222222222
XGBoost,uncalibrated,0.2916666666666667,0.9722222222222222
XGBoost,uncalibrated,0.2916666666666667,0.9861111111111112
XGBoost,uncalibrated,0.3333333333333333,0.9861111111111112
XGBoost,uncalibrated,0.3333333333333333,1.0
XGBoost,uncalibrated,1.0,1.0
XGBoost,platt_calibrated,0.0,0.0
XGBoost,platt_calibrated,0.0,0.013888888888888888
XGBoost,platt_calibrated,0.0,0.4027777777777778
XGBoost,platt_calibrated,0.041666666666666664,0.4027777777777778
XGBoost,platt_calibrated,0.041666666666666664,0.6944444444444444
XGBoost,platt_calibrated,0.08333333333333333,0.6944444444444444
XGBoost,platt_calibrated,0.08333333333333333,0.8055555555555556
XGBoost,platt_calibrated,0.125,0.8055555555555556
XGBoost,platt_calibrated,0.125,0.9583333333333334
XGBoost,platt_calibrated,0.20833333333333334,0.9583333333333334
XGBoost,platt_calibrated,0.20833333333333334,0.9722222222222222
XGBoost,platt_calibrated,0.2916666666666667,0.9722222222222222
XGBoost,platt_calibrated,0.2916666666666667,0.9861111111111112
XGBoost,platt_calibrated,0.3333333333333333,0.9861111111111112
XGBoost,platt_calibrated,0.3333333333333333,1.0
XGBoost,platt_calibrated,1.0,1.0
