Algorithm,n_iter_budget,candidate_idx,mean_cv_kappa,std_cv_kappa,is_best
MLP,1,0,0.8200572291668747,0.057411186211341815,True
MLP,3,0,0.8200572291668747,0.057411186211341815,True
MLP,3,1,0.8024090248549001,0.06696128683871698,False
MLP,3,2,0.8200572291668747,0.057411186211341815,True
MLP,5,0,0.8200572291668747,0.057411186211341815,False
MLP,5,1,0.8024090248549001,0.06696128683871698,False
MLP,5,2,0.8200572291668747,0.057411186211341815,False
MLP,5,3,0.8261283679219789,0.0614725488367402,True
MLP,5,4,0.8143518985057632,0.1058828919367533,False
SVM,1,0,0.7183579350756386,0.04648076534445714,True
SVM,3,0,0.7183579350756386,0.04648076534445714,False
SVM,3,1,0.8082444027602538,0.06985195503635953,False
SVM,3,2,0.844024296415739,0.08792339494712663,True
SVM,5,0,0.7183579350756386,0.04648076534445714,False
SVM,5,1,0.8082444027602538,0.06985195503635953,False
SVM,5,2,0.844024296415739,0.08792339494712663,True
SVM,5,3,0.8082960055800434,0.08812437225007325,False
SVM,5,4,0.8321676093219967,0.086094059030918,False
XGBoost,1,0,0.8082732324427695,0.11902292210383328,True
XGBoost,3,0,0.8082732324427695,0.11902292210383328,False
XGBoost,3,1,0.868213384667684,0.11439749967402839,True
XGBoost,3,2,0.8501573023979855,0.10881212205853992,False
XGBoost,5,0,0.8082732324427695,0.11902292210383328,False
XGBoost,5,1,0.868213384667684,0.11439749967402839,True
XGBoost,5,2,0.8501573023979855,0.10881212205853992,False
XGBoost,5,3,0.8381698163024982,0.11126527147143725,False
XGBoost,5,4,0.7422977232449318,0.12070343202246717,False
LogisticRegression,1,0,0.8142454571875744,0.043953129013390255,True
LogisticRegression,3,0,0.8142454571875744,0.043953129013390255,False
LogisticRegression,3,1,0.6892248812620841,0.07141794946508241,False
LogisticRegression,3,2,0.8201278219874304,0.05710396134468167,True
LogisticRegression,5,0,0.8142454571875744,0.043953129013390255,False
LogisticRegression,5,1,0.6892248812620841,0.07141794946508241,False
LogisticRegression,5,2,0.8201278219874304,0.05710396134468167,True
LogisticRegression,5,3,0.7188141977415897,0.07179201249521293,False
LogisticRegression,5,4,0.796381554466033,0.034600479381628434,False
