componente,variancia_explicada,variancia_acumulada
PC1,0.38926962964040135,0.38926962964040135
PC2,0.22223979262140764,0.6115094222618089
PC3,0.17422224071440376,0.7857316629762127
PC4,0.09055554030569053,0.8762872032819032
PC5,0.049030949354883786,0.9253181526367871
PC6,0.038384450669256845,0.963702603306044
PC7,0.025879042702499563,0.9895816460085435
PC8,0.009080207479538435,0.9986618534880819
PC9,0.0013381465119180406,0.9999999999999999
