descritor,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Goldscore.Internal.Torsion.Weighted,-0.07836814540387758,0.4390157930202409,-0.34338722281566936,-0.03151360606890414,0.4003180128133205,-0.40503479357578215,0.1531219646239663,0.5195275994081883,0.2540722675093081
Goldscore.Internal.Correction.Weighted,-0.19286403657936296,-0.028342712745224485,-0.35398905939405845,0.6221696709029251,0.39360088966789775,0.08629509664730894,0.2679709129670505,-0.4236423052357219,-0.18959716092771925
Goldscore.External.HBond.Weighted,0.4753287864622198,-0.4593462639009222,-0.10221860944186467,-0.1265797247990479,0.5153088155166738,0.37799456938929865,-0.0015182435946235334,0.11727407924894812,0.3382512367898859
Goldscore.Internal.Vdw.Weighted,-0.21430536039909776,-0.29537711192037486,-0.18498023542867886,0.5467213914112555,-0.35191684747188356,0.1653217977946771,-0.28323427638297793,0.5017317272756149,0.22487876978076113
Goldscore.External.Vdw.Weighted,-0.23111207468361797,-0.006843289012448905,0.5909690175374278,0.2278038723602146,0.17905488508936784,-0.22227799627807085,-0.032216004181388855,-0.2381078347209381,0.6373382328048391
bpKa (código ordinal),0.7310852166832722,0.35361806130467693,0.22792667837648542,0.46625506333154737,-0.1859337726821023,-0.01996628254327623,0.1705533587527827,0.0801780077903989,-0.025245524172850073
LBSAD %,-0.2372600711928959,0.5432671281383589,0.1975467158766441,-0.016586597940474818,0.16896915283395356,0.7435838963771697,-0.114554945748372,0.12099645303688694,-0.006172771918552811
MW,-0.19978059804940396,-0.27783166435353224,0.3927363974268705,0.008316141264705701,0.03715984570039854,0.06882675399587551,0.709324710044246,0.3998938749533065,-0.2437449715452336
corrScore,0.02635603513445889,-0.10388948738132484,0.3430001402308741,0.16538568530205572,0.44595037498136497,-0.225451741817924,-0.5273808817064413,0.21783302800002202,-0.5179080665625218
