Model,Kappa_train,Accuracy_train,AUC_train
MLP,0.994011976047904,0.997005988023952,0.9999641435691492
SVM,0.8862275449101796,0.94311377245509,0.9869482591702822
XGBoost,0.994011976047904,,
Logistic regression,0.9101796407185628,,
