System,RMSD_A
Ifenprodil (3QEL),0.442
Ifenprodil (3QEL),0.4423
Ifenprodil (3QEL),0.4427
Ifenprodil (3QEL),0.4427
Ifenprodil (3QEL),0.4433
Ifenprodil (3QEL),0.4434
Ifenprodil (3QEL),0.4436
Ifenprodil (3QEL),0.4439
Ifenprodil (3QEL),0.444
Ifenprodil (3QEL),0.4442
Ifenprodil (3QEL),0.4447
Ifenprodil (3QEL),0.4455
Ifenprodil (3QEL),0.4459
Ifenprodil (3QEL),0.4461
Ifenprodil (3QEL),0.4463
Ifenprodil (3QEL),0.4477
Ifenprodil (3QEL),0.4482
Ifenprodil (3QEL),0.4487
Ifenprodil (3QEL),0.4492
Ifenprodil (3QEL),0.4503
Ifenprodil (3QEL),0.4505
Ifenprodil (3QEL),0.4516
Ifenprodil (3QEL),0.4519
Ifenprodil (3QEL),0.4523
Ifenprodil (3QEL),0.4531
Ifenprodil (3QEL),0.4531
Ifenprodil (3QEL),0.4539
Ifenprodil (3QEL),0.4545
Ifenprodil (3QEL),0.4548
Ifenprodil (3QEL),0.4557
Ifenprodil (3QEL),0.4559
Ifenprodil (3QEL),0.4562
Ifenprodil (3QEL),0.4564
Ifenprodil (3QEL),0.457
Ifenprodil (3QEL),0.4572
Ifenprodil (3QEL),0.4576
Ifenprodil (3QEL),0.4583
Ifenprodil (3QEL),0.4583
Ifenprodil (3QEL),0.4586
Ifenprodil (3QEL),0.4589
Ifenprodil (3QEL),0.4592
Ifenprodil (3QEL),0.4595
Ifenprodil (3QEL),0.4597
Ifenprodil (3QEL),0.4602
Ifenprodil (3QEL),0.4619
Ifenprodil (3QEL),0.4627
Ifenprodil (3QEL),0.4628
Ifenprodil (3QEL),0.4628
Ifenprodil (3QEL),0.463
Ifenprodil (3QEL),0.4631
Ifenprodil (3QEL),0.4638
Ifenprodil (3QEL),0.4651
Ifenprodil (3QEL),0.4656
Ifenprodil (3QEL),0.4672
Ifenprodil (3QEL),0.4673
Ifenprodil (3QEL),0.4677
Ifenprodil (3QEL),0.4694
Ifenprodil (3QEL),0.4695
Ifenprodil (3QEL),0.4695
Ifenprodil (3QEL),0.4696
Ifenprodil (3QEL),0.4697
Ifenprodil (3QEL),0.47
Ifenprodil (3QEL),0.4701
Ifenprodil (3QEL),0.4702
Ifenprodil (3QEL),0.473
Ifenprodil (3QEL),0.4736
Ifenprodil (3QEL),0.4737
Ifenprodil (3QEL),0.4739
Ifenprodil (3QEL),0.4761
Ifenprodil (3QEL),0.4763
Ifenprodil (3QEL),0.477
Ifenprodil (3QEL),0.4777
Ifenprodil (3QEL),0.4779
Ifenprodil (3QEL),0.4789
Ifenprodil (3QEL),0.4793
Ifenprodil (3QEL),0.4806
Ifenprodil (3QEL),0.4835
Ifenprodil (3QEL),0.4837
Ifenprodil (3QEL),0.4841
Ifenprodil (3QEL),0.4848
Ifenprodil (3QEL),0.4864
Ifenprodil (3QEL),0.487
Ifenprodil (3QEL),0.4881
Ifenprodil (3QEL),0.4886
Ifenprodil (3QEL),0.4888
Ifenprodil (3QEL),0.4889
Ifenprodil (3QEL),0.4897
Ifenprodil (3QEL),0.4897
Ifenprodil (3QEL),0.4897
Ifenprodil (3QEL),0.4906
Ifenprodil (3QEL),0.4908
Ifenprodil (3QEL),0.4925
Ifenprodil (3QEL),0.4935
Ifenprodil (3QEL),0.4941
Ifenprodil (3QEL),0.496
Ifenprodil (3QEL),0.4973
Ifenprodil (3QEL),0.4978
Ifenprodil (3QEL),0.4997
Ifenprodil (3QEL),0.4999
Ifenprodil (3QEL),0.4999
Ifenprodil (3QEL),0.5005
Ifenprodil (3QEL),0.501
Ifenprodil (3QEL),0.501
Ifenprodil (3QEL),0.5033
Ifenprodil (3QEL),0.5037
Ifenprodil (3QEL),0.5044
Ifenprodil (3QEL),0.5058
Ifenprodil (3QEL),0.5063
Ifenprodil (3QEL),0.5118
Ifenprodil (3QEL),0.5121
Ifenprodil (3QEL),0.5134
Ifenprodil (3QEL),0.5139
Ifenprodil (3QEL),0.5151
Ifenprodil (3QEL),0.5156
Ifenprodil (3QEL),0.5157
Ifenprodil (3QEL),0.5166
Ifenprodil (3QEL),0.5175
Ifenprodil (3QEL),0.518
Ifenprodil (3QEL),0.5187
Ifenprodil (3QEL),0.519
Ifenprodil (3QEL),0.5204
Ifenprodil (3QEL),0.5209
Ifenprodil (3QEL),0.5211
Ifenprodil (3QEL),0.522
Ifenprodil (3QEL),0.5222
Ifenprodil (3QEL),0.5251
Ifenprodil (3QEL),0.5252
Ifenprodil (3QEL),0.5261
Ifenprodil (3QEL),0.5293
Ifenprodil (3QEL),0.5293
Ifenprodil (3QEL),0.5313
Ifenprodil (3QEL),0.5325
